chrom	length	bases	mean	min	max
scaffold_1	178727	4458555	24.95	2	49
scaffold_1_region	109401	2835447	25.92	0	44
scaffold_2	169477	4222925	24.92	2	46
scaffold_2_region	50815	1250686	24.61	12	45
scaffold_3	164936	30907347	187.39	8	1241
scaffold_3_region	9171	1366651	149.02	56	272
scaffold_4	162459	6031174	37.12	1	203
scaffold_4_region	57608	1565774	27.18	10	42
scaffold_5	157566	3697613	23.47	2	101
scaffold_5_region	101303	2319510	22.90	7	52
scaffold_6	157331	3935209	25.01	2	105
scaffold_6_region	79508	1978768	24.89	13	38
scaffold_7	156811	3991941	25.46	1	162
scaffold_7_region	92608	2070651	22.36	9	41
scaffold_8	149558	3640734	24.34	0	46
scaffold_8_region	94207	2262677	24.02	12	41
scaffold_9	146551	3799138	25.92	4	49
scaffold_9_region	93481	2419407	25.88	9	48
scaffold_10	136491	20754272	152.06	0	256
scaffold_10_region	2277	305540	134.19	88	209
scaffold_11	136349	3720855	27.29	2	191
scaffold_11_region	70541	1802171	25.55	14	47
scaffold_12	134972	3403574	25.22	9	53
scaffold_12_region	46749	1238574	26.49	14	53
scaffold_13	134093	4075481	30.39	2	160
scaffold_13_region	64486	1791476	27.78	16	51
scaffold_14	132655	3677090	27.72	9	115
scaffold_14_region	67765	1849522	27.29	15	43
scaffold_15	129522	3148720	24.31	0	49
scaffold_15_region	79134	2043393	25.82	5	49
scaffold_16	128778	3305985	25.67	7	60
scaffold_16_region	77073	1946740	25.26	9	48
scaffold_17	125222	3293108	26.30	5	69
scaffold_17_region	81816	2081842	25.45	12	39
scaffold_18	125118	4389048	35.08	0	187
scaffold_18_region	49377	1323899	26.81	12	53
scaffold_19	124594	4712468	37.82	2	75
scaffold_19_region	23599	1049273	44.46	3	68
scaffold_20	124362	4646854	37.37	13	191
scaffold_20_region	48140	1345554	27.95	18	42
scaffold_21	119289	3079783	25.82	8	45
scaffold_21_region	68205	1837846	26.95	11	45
scaffold_22	118100	2839799	24.05	3	48
scaffold_22_region	76656	1816186	23.69	11	37
scaffold_23	118027	3183854	26.98	12	45
scaffold_23_region	86160	2362873	27.42	14	44
scaffold_24	116362	3377816	29.03	11	107
scaffold_24_region	60142	1579505	26.26	11	46
scaffold_25	116313	2945211	25.32	3	56
scaffold_25_region	72936	1912899	26.23	14	56
scaffold_26	115949	3127567	26.97	7	53
scaffold_26_region	70726	1956670	27.67	12	53
scaffold_27	115264	3088488	26.79	11	68
scaffold_27_region	69547	1805882	25.97	11	46
scaffold_28	115146	2640529	22.93	2	72
scaffold_28_region	50472	1184056	23.46	4	38
scaffold_29	114987	3781361	32.89	8	85
scaffold_29_region	65079	1883153	28.94	14	72
scaffold_30	114482	2925783	25.56	8	65
scaffold_30_region	65579	1809462	27.59	9	65
scaffold_31	113794	3215316	28.26	1	134
scaffold_31_region	83857	2315514	27.61	10	51
scaffold_32	111164	3159559	28.42	4	95
scaffold_32_region	61099	1693033	27.71	14	52
scaffold_33	111132	2971798	26.74	2	74
scaffold_33_region	50448	1329474	26.35	9	41
scaffold_34	110970	3312796	29.85	4	200
scaffold_34_region	56468	1334262	23.63	8	39
scaffold_35	110698	2206306	19.93	5	39
scaffold_35_region	52137	1174667	22.53	6	39
scaffold_36	109872	2846341	25.91	10	54
scaffold_36_region	63060	1561870	24.77	12	52
scaffold_37	109719	3015724	27.49	3	165
scaffold_37_region	52233	1433984	27.45	13	46
scaffold_38	109579	3219049	29.38	1	54
scaffold_38_region	69229	2041467	29.49	13	52
scaffold_39	109437	2774816	25.36	1	48
scaffold_39_region	59999	1582536	26.38	14	48
scaffold_40	109435	2588801	23.66	0	57
scaffold_40_region	52114	1147947	22.03	9	41
scaffold_41	108938	3029136	27.81	9	129
scaffold_41_region	62322	1640835	26.33	12	39
scaffold_42	107748	3071173	28.50	2	119
scaffold_42_region	55895	1437151	25.71	5	38
scaffold_43	107727	2684258	24.92	4	62
scaffold_43_region	81393	1924111	23.64	7	43
scaffold_44	107046	3195031	29.85	4	63
scaffold_44_region	66180	1978991	29.90	17	57
scaffold_45	106984	2775931	25.95	13	41
scaffold_45_region	58932	1490953	25.30	14	41
scaffold_46	106580	2777336	26.06	9	73
scaffold_46_region	54751	1421633	25.97	10	44
scaffold_47	106121	2906817	27.39	1	127
scaffold_47_region	49910	1248648	25.02	12	53
scaffold_48	105510	3897569	36.94	13	258
scaffold_48_region	73405	1775766	24.19	13	41
scaffold_49	105335	2853586	27.09	5	71
scaffold_49_region	61755	1688863	27.35	7	44
scaffold_50	104632	2645409	25.28	6	52
scaffold_50_region	69523	1896430	27.28	7	52
scaffold_51	104631	2254177	21.54	1	50
scaffold_51_region	75814	1767096	23.31	9	50
scaffold_52	104328	3338454	32.00	6	177
scaffold_52_region	41181	1095601	26.60	15	41
scaffold_53	104243	2919219	28.00	3	157
scaffold_53_region	61866	1692632	27.36	14	50
scaffold_54	104173	2827481	27.14	7	79
scaffold_54_region	57982	1486804	25.64	10	62
scaffold_55	103520	2490806	24.06	0	42
scaffold_55_region	59710	1496997	25.07	11	42
scaffold_56	103126	2878235	27.91	2	74
scaffold_56_region	61396	1761961	28.70	11	60
scaffold_57	102640	1533543	14.94	5	25
scaffold_57_region	50673	736914	14.54	5	25
scaffold_58	101939	2756781	27.04	7	129
scaffold_58_region	50580	1294503	25.59	7	41
scaffold_59	101898	2584678	25.37	2	97
scaffold_59_region	37228	922719	24.79	14	36
scaffold_60	101408	2533804	24.99	6	42
scaffold_60_region	48296	1249013	25.86	9	42
scaffold_61	99494	3340255	33.57	6	177
scaffold_61_region	42405	1166099	27.50	17	52
scaffold_62	99360	2626690	26.44	1	85
scaffold_62_region	54941	1458532	26.55	10	48
scaffold_63	99296	4872255	49.07	2	197
scaffold_63_region	29612	714333	24.12	12	34
scaffold_64	99286	2419543	24.37	1	134
scaffold_64_region	52189	1311658	25.13	14	43
scaffold_65	99095	2556051	25.79	1	225
scaffold_65_region	57464	1483825	25.82	9	41
scaffold_66	98790	2339891	23.69	3	58
scaffold_66_region	59040	1370416	23.21	12	38
scaffold_67	98710	4303881	43.60	6	384
scaffold_67_region	39988	934362	23.37	6	36
scaffold_68	98512	2898045	29.42	9	162
scaffold_68_region	60609	1585307	26.16	15	41
