chrom	length	bases	mean	min	max
scaffold_1	345098	513408503	1487.72	0	73608
scaffold_1_region	98605	195845226	1986.16	0	73608
scaffold_2	312558	237046749	758.41	42	19113
scaffold_2_region	137722	141983589	1030.94	260	19113
scaffold_3	287976	264111296	917.13	3	34631
scaffold_3_region	119187	144717595	1214.21	244	34631
scaffold_4	280066	382151087	1364.50	4	45558
scaffold_4_region	130400	232875127	1785.85	64	45558
scaffold_5	279783	321290661	1148.36	33	31058
scaffold_5_region	138906	208559927	1501.45	353	31058
scaffold_6	268249	141552913	527.69	1	84803
scaffold_6_region	98467	58204004	591.10	242	11024
scaffold_7	267059	193217434	723.50	28	6389
scaffold_7_region	98739	83099588	841.61	363	4767
scaffold_8	266172	310837594	1167.81	202	61813
scaffold_8_region	147469	236968793	1606.91	202	61813
scaffold_9	265035	283935491	1071.31	73	75984
scaffold_9_region	78016	122407837	1569.01	390	75984
scaffold_10	264164	300398136	1137.17	0	48322
scaffold_10_region	117096	222679873	1901.69	280	48322
scaffold_11	261329	119818454	458.50	66	7376
scaffold_11_region	96202	51973444	540.25	255	7182
scaffold_12	261008	449826495	1723.42	5	307465
scaffold_12_region	89003	52753069	592.71	221	4985
scaffold_13	260741	381847699	1464.47	0	18912
scaffold_13_region	126771	235042307	1854.07	319	18912
scaffold_14	257940	193539315	750.33	28	32414
scaffold_14_region	91628	94785355	1034.46	265	32414
scaffold_15	251256	301896816	1201.55	0	10903
scaffold_15_region	141485	196288560	1387.35	385	9681
scaffold_16	251232	137693264	548.07	2	24334
scaffold_16_region	101470	66713354	657.47	228	24334
scaffold_17	250631	376327520	1501.52	2	77011
scaffold_17_region	144294	300715396	2084.05	446	77011
scaffold_18	246065	127418784	517.83	154	10855
scaffold_18_region	53143	41622653	783.22	291	10855
scaffold_19	245994	144997794	589.44	29	16324
scaffold_19_region	101795	67145209	659.61	247	12034
scaffold_20	244099	145878197	597.62	6	57107
scaffold_20_region	110985	84279979	759.38	142	12510
scaffold_21	236026	168002940	711.80	15	16718
scaffold_21_region	90960	80897835	889.38	301	13142
scaffold_22	235239	209075103	888.78	30	48706
scaffold_22_region	108283	126008782	1163.70	101	30389
scaffold_23	232614	242260897	1041.47	27	37027
scaffold_23_region	125676	150257084	1195.59	317	31788
scaffold_24	231500	159803812	690.30	162	10618
scaffold_24_region	62198	54142769	870.49	431	10618
scaffold_25	231036	161442707	698.78	0	13416
scaffold_25_region	111659	94702890	848.14	8	13416
scaffold_26	230790	263159919	1140.26	58	65720
scaffold_26_region	99488	167666027	1685.29	332	65720
scaffold_27	229760	231659154	1008.27	6	9997
