chrom	length	bases	mean	min	max
scaffold_1	179448	25443235	141.79	0	3271
scaffold_2	160235	25356659	158.25	0	5554
scaffold_3	151914	19950526	131.33	0	16737
scaffold_4	148811	40057850	269.19	0	15364
scaffold_5	135761	39636248	291.96	0	13460
scaffold_6	129058	2311342	17.91	0	217
scaffold_7	126374	26493338	209.64	0	14961
scaffold_8	123654	10450669	84.52	0	4517
scaffold_9	121750	12569534	103.24	0	5408
scaffold_10	121012	9933493	82.09	0	6118
scaffold_11	116255	12817350	110.25	0	3141
scaffold_12	111772	24917260	222.93	0	13322
scaffold_13	111290	15433564	138.68	0	5710
scaffold_14	108533	15416565	142.04	0	3316
scaffold_15	107844	12303559	114.09	0	13464
scaffold_16	107789	14729402	136.65	0	12005
scaffold_17	107762	19904527	184.71	0	16348
scaffold_18	107112	13872977	129.52	0	3753
scaffold_19	105030	9987413	95.09	0	3708
scaffold_20	103555	14743995	142.38	0	12697
scaffold_21	102539	9951104	97.05	0	4739
scaffold_22	102017	11549020	113.21	0	6080
scaffold_23	96844	22267857	229.94	0	20253
scaffold_24	96817	11171400	115.39	0	5455
scaffold_25	96613	11495170	118.98	0	3771
scaffold_26	96469	6693355	69.38	0	1522
scaffold_27	96408	8378425	86.91	0	2447
scaffold_28	95980	26462805	275.71	0	15426
scaffold_29	95367	7732764	81.08	0	6224
scaffold_30	95002	12686475	133.54	0	10538
scaffold_31	94780	14561698	153.64	0	11430
scaffold_32	94721	14960976	157.95	0	9259
scaffold_33	94561	32138144	339.87	0	86870
scaffold_34	94416	5603692	59.35	0	5528
scaffold_35	94408	15091029	159.85	0	3844
scaffold_36	94402	7767391	82.28	0	1322
scaffold_37	93900	31472464	335.17	0	20551
scaffold_38	93510	20865223	223.13	0	8389
scaffold_39	93093	2586209	27.78	0	686
scaffold_40	92821	2593564	27.94	0	859
scaffold_41	92666	14308197	154.41	0	23474
scaffold_42	92073	5213039	56.62	0	1569
scaffold_43	91845	4978331	54.20	0	3777
scaffold_44	90441	23235963	256.92	0	28488
scaffold_45	88767	9620499	108.38	0	1584
scaffold_46	87833	8183913	93.18	0	1126
scaffold_47	87460	12182953	139.30	0	5056
scaffold_48	87375	2043767	23.39	0	856
scaffold_49	87192	15290848	175.37	0	9115
scaffold_50	85856	7956944	92.68	0	3743
scaffold_51	85834	2312849	26.95	0	604
scaffold_52	85590	13327364	155.71	0	10445
scaffold_53	84500	4262532	50.44	0	844
scaffold_54	84398	22427597	265.74	0	16550
scaffold_55	84006	8945941	106.49	0	5287
scaffold_56	83134	6900380	83.00	0	3092
scaffold_57	83061	26192786	315.34	0	21651
scaffold_58	82296	23847471	289.78	0	6682
scaffold_59	82089	8309616	101.23	0	2483
scaffold_60	81705	18910361	231.45	0	8180
scaffold_61	81473	13666909	167.75	0	4773
scaffold_62	81226	17061957	210.06	0	8961
scaffold_63	81088	13379761	165.00	0	17616
scaffold_64	80846	18201361	225.14	0	24355
scaffold_65	80735	21010153	260.24	0	17499
scaffold_66	80561	10490189	130.21	0	3750
scaffold_67	79909	4889493	61.19	0	4012
scaffold_68	79764	10461650	131.16	0	8913
scaffold_69	79688	9341984	117.23	0	1667
scaffold_70	79042	8658811	109.55	0	2919
scaffold_71	78706	4763912	60.53	0	1289
scaffold_72	78440	8606596	109.72	0	4206
scaffold_73	77695	9320978	119.97	0	4721
scaffold_74	77557	7247393	93.45	0	1442
scaffold_75	77497	19848685	256.12	0	16540
scaffold_76	77426	7755413	100.17	0	1734
scaffold_77	77156	5711428	74.02	0	2339
scaffold_78	77008	5604038	72.77	0	1180
scaffold_79	76964	41258091	536.07	0	35045
scaffold_80	76920	6985585	90.82	0	1805
scaffold_81	76870	8398549	109.26	0	5678
scaffold_82	76542	10142880	132.51	0	11632
scaffold_83	76300	6745780	88.41	0	1262
scaffold_84	75271	18664261	247.96	0	10275
scaffold_85	75252	6650610	88.38	0	1598
scaffold_86	74790	5615459	75.08	0	12461
scaffold_87	73861	122964649	1664.81	0	193224
scaffold_88	73676	17308884	234.93	0	12318
scaffold_89	72915	2446903	33.56	0	636
scaffold_90	72294	7091330	98.09	0	5027
scaffold_91	72130	4977085	69.00	0	2040
scaffold_92	71962	9037845	125.59	0	11620
scaffold_93	71902	5443024	75.70	0	1257
scaffold_94	71892	2934836	40.82	0	1076
scaffold_95	71782	2529915	35.24	0	739
scaffold_96	71449	11871234	166.15	0	5337
scaffold_97	71338	3164787	44.36	0	669
scaffold_98	71212	7200569	101.11	0	2102
scaffold_99	71051	6861122	96.57	0	1737
scaffold_100	70953	7456213	105.09	0	5444
scaffold_101	70714	9238457	130.65	0	2592
scaffold_102	70576	26431722	374.51	0	22236
scaffold_103	70197	16556797	235.86	0	14909
scaffold_104	70160	18283918	260.60	0	21115
scaffold_105	70052	6637729	94.75	0	873
scaffold_106	69898	5064544	72.46	0	1216
scaffold_107	69586	16781916	241.17	0	6963
scaffold_108	69441	3099553	44.64	0	1237
scaffold_109	69306	8767144	126.50	0	6306
scaffold_110	69272	12744528	183.98	0	14376
scaffold_111	68876	8751083	127.06	0	8548
scaffold_112	68791	14148139	205.67	0	15393
scaffold_113	68353	3748632	54.84	0	590
scaffold_114	67743	2807994	41.45	0	533
scaffold_115	67724	6837880	100.97	0	3317
scaffold_116	66899	4314366	64.49	0	2504
scaffold_117	66852	16141869	241.46	0	9704
scaffold_118	66651	6376066	95.66	0	1433
scaffold_119	66552	7041569	105.81	0	2547
scaffold_120	66372	10624770	160.08	0	10094
scaffold_121	65794	8823025	134.10	0	3639
scaffold_122	65676	7696707	117.19	0	2760
scaffold_123	64954	22766999	350.51	0	14051
scaffold_124	64741	3417783	52.79	0	1454
scaffold_125	64661	10001710	154.68	0	8449
scaffold_126	64631	2040687	31.57	0	448
scaffold_127	64630	6677381	103.32	0	2642
scaffold_128	64338	6303442	97.97	0	4578
scaffold_129	64141	10015242	156.14	0	4973
scaffold_130	63930	10360123	162.05	0	9147
scaffold_131	63709	5762812	90.46	0	2203
scaffold_132	63619	909700	14.30	0	435
scaffold_133	63279	30806584	486.84	0	12894
scaffold_134	63000	8096562	128.52	0	5092
scaffold_135	62499	3195737	51.13	0	1188
scaffold_136	62382	4280789	68.62	0	1623
scaffold_137	62078	3769981	60.73	0	1963
scaffold_138	61392	12100856	197.11	0	3799
scaffold_139	61318	6253497	101.98	0	1927
scaffold_140	61227	5040888	82.33	0	2448
scaffold_141	60719	4727160	77.85	0	833
scaffold_142	60641	8326896	137.31	0	11830
scaffold_143	59900	14426099	240.84	0	11881
scaffold_144	59770	13256331	221.79	0	4244
scaffold_145	59574	7355336	123.47	0	13089
scaffold_146	59540	10215460	171.57	0	7891
scaffold_147	59390	11311793	190.47	0	10052
scaffold_148	59200	10601636	179.08	0	20473
scaffold_149	58846	5589921	94.99	0	4092
scaffold_150	58771	3337	0.06	0	22
scaffold_151	58595	5146530	87.83	0	1029
scaffold_152	57899	5031001	86.89	0	2680
scaffold_153	57887	9046714	156.28	0	9143
scaffold_154	57688	27034955	468.64	0	16519
scaffold_155	57673	2111285	36.61	0	759
scaffold_156	57652	6204553	107.62	0	5152
scaffold_157	57639	17085452	296.42	0	13591
scaffold_158	57596	10396574	180.51	0	9278
scaffold_159	57577	10299385	178.88	0	2478
scaffold_160	57558	7031316	122.16	0	12021
scaffold_161	57459	18355057	319.45	0	13303
scaffold_162	57310	4763101	83.11	0	1631
scaffold_163	57027	668857	11.73	0	991
scaffold_164	56996	691743	12.14	0	348
scaffold_165	56987	6381284	111.98	0	2332
scaffold_166	56761	14628100	257.71	0	14917
scaffold_167	56567	4063609	71.84	0	585
scaffold_168	56511	16327715	288.93	0	19924
scaffold_169	56416	3877765	68.74	0	1385
scaffold_170	56352	3074228	54.55	0	1079
scaffold_171	56263	9751172	173.31	0	7810
