chrom	length	bases	mean	min	max
scaffold_1	456445	65408577	143.30	51	335
scaffold_1_region	188906	28293539	149.78	0	335
scaffold_2	442609	51072020	115.39	68	478
scaffold_2_region	121878	13593436	111.53	76	149
scaffold_3	386310	27395598	70.92	36	1568
scaffold_3_region	113852	7335462	64.43	42	104
scaffold_4	368369	33647693	91.34	12	267
scaffold_4_region	109374	13133587	120.08	18	267
scaffold_5	348973	47080497	134.91	21	258
scaffold_5_region	120310	21220903	176.39	42	252
scaffold_6	317687	20772865	65.39	13	264
scaffold_6_region	151253	11625261	76.86	18	264
scaffold_7	297422	8737226	29.38	16	56
scaffold_7_region	156605	4592588	29.33	20	42
scaffold_8	296941	34406685	115.87	77	185
scaffold_8_region	149330	16949694	113.50	95	147
scaffold_9	288573	26887458	93.17	62	243
scaffold_9_region	157625	14269129	90.53	62	116
scaffold_10	276030	30025764	108.78	48	175
scaffold_10_region	93268	10455183	112.10	70	159
scaffold_11	274733	29633938	107.86	63	157
scaffold_11_region	86424	9129978	105.64	87	130
scaffold_12	265251	31073489	117.15	64	179
scaffold_12_region	123927	14666402	118.35	85	146
scaffold_13	265116	32419814	122.29	69	184
scaffold_13_region	145248	17356731	119.50	94	171
scaffold_14	263030	19651503	74.71	26	255
scaffold_14_region	115170	8015610	69.60	26	207
scaffold_15	259471	26183955	100.91	47	217
scaffold_15_region	106876	11617820	108.70	84	147
scaffold_16	254094	27808500	109.44	65	188
scaffold_16_region	83621	9198996	110.01	88	133
scaffold_17	253625	34698220	136.81	82	204
scaffold_17_region	122608	16841965	137.36	102	166
scaffold_18	253351	7656143	30.22	16	151
scaffold_18_region	86528	2677272	30.94	16	45
scaffold_19	249087	14022483	56.30	33	95
scaffold_19_region	96644	5850775	60.54	42	78
scaffold_20	245328	21596562	88.03	40	131
scaffold_20_region	88543	8145157	91.99	71	112
scaffold_21	243488	28917239	118.76	78	285
scaffold_21_region	79434	8980798	113.06	88	137
scaffold_22	238123	19043248	79.97	46	195
scaffold_22_region	56276	4377535	77.79	61	97
scaffold_23	238105	14137089	59.37	32	115
scaffold_23_region	107984	6445512	59.69	41	115
scaffold_24	234914	25572514	108.86	42	164
scaffold_24_region	95774	10673206	111.44	82	132
scaffold_25	231839	28478770	122.84	73	302
scaffold_25_region	101925	12018744	117.92	92	162
scaffold_26	231435	19746398	85.32	7	169
scaffold_26_region	102688	8339770	81.21	65	100
scaffold_27	229459	20804117	90.67	59	234
scaffold_27_region	93897	8549516	91.05	71	111
scaffold_28	229291	26144263	114.02	82	223
scaffold_28_region	96471	10976079	113.78	86	133
scaffold_29	226422	26080944	115.19	55	152
scaffold_29_region	95154	10701908	112.47	87	136
scaffold_30	226079	25976914	114.90	71	168
scaffold_30_region	87529	10065057	114.99	91	153
scaffold_31	226075	23915964	105.79	55	224
scaffold_31_region	74423	7177229	96.44	55	224
scaffold_32	223848	11939803	53.34	26	79
scaffold_32_region	91708	5030216	54.85	41	74
scaffold_33	223694	24971602	111.63	63	191
scaffold_33_region	65405	7073447	108.15	95	133
scaffold_34	223048	25231415	113.12	49	183
scaffold_34_region	92651	10039567	108.36	49	169
scaffold_35	222797	24746977	111.07	51	170
scaffold_35_region	69334	7771519	112.09	82	168
scaffold_36	222049	12062786	54.32	23	74
scaffold_36_region	71617	3845066	53.69	38	71
scaffold_37	220841	32175792	145.70	72	216
scaffold_37_region	113519	16638460	146.57	116	183
scaffold_38	218441	13313546	60.95	23	144
scaffold_38_region	89830	5211634	58.02	46	72
scaffold_39	218188	25708480	117.83	55	164
scaffold_39_region	98361	11217897	114.05	91	164
scaffold_40	217351	18646625	85.79	58	125
scaffold_40_region	51604	4449687	86.23	61	110
scaffold_41	217112	25012696	115.21	74	673
scaffold_41_region	73632	8188646	111.21	93	673
scaffold_42	216405	26193399	121.04	74	389
scaffold_42_region	94252	10647817	112.97	84	148
scaffold_43	215491	14602903	67.77	30	344
scaffold_43_region	84544	5006740	59.22	45	76
scaffold_44	214668	26114258	121.65	1	164
scaffold_44_region	88818	10952878	123.32	84	160
scaffold_45	214128	24723784	115.46	66	190
scaffold_45_region	96356	10575032	109.75	82	138
scaffold_46	213812	24806790	116.02	70	160
scaffold_46_region	95761	11392364	118.97	81	156
scaffold_47	213758	18483817	86.47	2	182
scaffold_47_region	36694	2367964	64.53	34	176
scaffold_48	211636	26334960	124.44	89	231
scaffold_48_region	80357	10148618	126.29	100	168
scaffold_49	210665	25040528	118.86	68	336
scaffold_49_region	82349	9314401	113.11	79	165
scaffold_50	209835	24922397	118.77	66	192
scaffold_50_region	72938	8955070	122.78	91	179
scaffold_51	207736	40234596	193.68	148	286
scaffold_51_region	86496	16646490	192.45	148	244
scaffold_52	207284	29577602	142.69	87	242
scaffold_52_region	60565	9001244	148.62	125	179
scaffold_53	207229	27926822	134.76	36	564
scaffold_53_region	98612	13597513	137.89	84	563
scaffold_54	207039	18657972	90.12	52	158
scaffold_54_region	96863	8587623	88.66	67	105
scaffold_55	206711	25563371	123.67	60	7662
scaffold_55_region	72990	8067678	110.53	84	143
scaffold_56	205733	40795817	198.29	119	241
scaffold_56_region	124583	25823619	207.28	160	241
scaffold_57	205107	24340974	118.67	68	181
scaffold_57_region	107327	12646966	117.84	84	177
scaffold_58	204706	23176127	113.22	54	156
scaffold_58_region	75070	8761305	116.71	95	145
scaffold_59	201806	44316717	219.60	93	508
scaffold_59_region	107691	23182505	215.27	135	291
scaffold_60	200568	23509634	117.22	60	179
scaffold_60_region	52162	5927899	113.64	93	137
scaffold_61	200487	23695453	118.19	75	267
scaffold_61_region	65058	7077111	108.78	82	157
scaffold_62	197154	17601688	89.28	57	151
scaffold_62_region	49231	4600999	93.46	68	119
scaffold_63	196896	13929046	70.74	48	112
scaffold_63_region	116582	8247136	70.74	50	112
scaffold_64	196672	23138663	117.65	65	163
scaffold_64_region	70665	8135027	115.12	92	146
scaffold_65	196468	21263042	108.23	56	152
scaffold_65_region	100568	11015313	109.53	88	147
scaffold_66	194900	23216410	119.12	64	203
scaffold_66_region	54694	6411237	117.22	93	152
scaffold_67	194825	41424946	212.63	66	314
scaffold_67_region	65521	15395349	234.97	127	314
scaffold_68	193987	21619777	111.45	33	182
scaffold_68_region	42071	4577748	108.81	85	138
scaffold_69	193608	11176472	57.73	31	81
scaffold_69_region	60799	3401923	55.95	39	71
scaffold_70	193559	23218883	119.96	60	8855
scaffold_70_region	62758	7022233	111.89	82	133
scaffold_71	193526	27955898	144.46	99	232
scaffold_71_region	32378	4738112	146.34	106	230
scaffold_72	193100	23253902	120.42	68	174
scaffold_72_region	95690	11430940	119.46	91	162
scaffold_73	193075	17363599	89.93	53	130
scaffold_73_region	83760	7435346	88.77	69	122
scaffold_74	192857	23681587	122.79	62	222
scaffold_74_region	44745	5568693	124.45	96	165
scaffold_75	191561	17955812	93.73	39	237
scaffold_75_region	60941	5168545	84.81	62	112
scaffold_76	191517	16492497	86.12	40	193
scaffold_76_region	54123	4756321	87.88	69	109
scaffold_77	191095	10815554	56.60	24	85
scaffold_77_region	56012	3399831	60.70	38	78
scaffold_78	190966	34858893	182.54	105	250
scaffold_78_region	88202	16089635	182.42	157	233
scaffold_79	190486	11108267	58.32	35	92
scaffold_79_region	68240	3741227	54.82	44	71
scaffold_80	190359	17084363	89.75	28	154
scaffold_80_region	55269	4702874	85.09	70	103
scaffold_81	190017	17156787	90.29	25	197
scaffold_81_region	34608	2957175	85.45	48	114
scaffold_82	190011	11431277	60.16	36	214
scaffold_82_region	48448	2692874	55.58	45	71
scaffold_83	189943	25185670	132.60	61	9791
scaffold_83_region	89750	10754246	119.82	94	149
scaffold_84	189431	10328588	54.52	30	83
scaffold_84_region	60736	3263848	53.74	36	71
scaffold_85	189192	22593657	119.42	68	166
scaffold_85_region	67865	8276419	121.95	89	166
scaffold_86	189139	22354779	118.19	83	149
scaffold_86_region	33792	3953352	116.99	93	140
scaffold_87	188990	21581725	114.20	65	155
scaffold_87_region	56023	6692460	119.46	89	154
scaffold_88	188822	12941989	68.54	36	92
scaffold_88_region	60523	4100202	67.75	47	88
scaffold_89	188608	21810605	115.64	68	244
scaffold_89_region	49437	5676507	114.82	92	133
scaffold_90	188475	30632830	162.53	93	417
scaffold_90_region	14416	2313445	160.48	146	178
scaffold_91	187929	15439221	82.15	41	114
scaffold_91_region	65075	5350894	82.23	61	110
scaffold_92	186808	23329298	124.88	73	275
scaffold_92_region	38315	4824962	125.93	101	151
scaffold_93	186574	20577832	110.29	48	160
scaffold_93_region	32067	3630302	113.21	91	141
scaffold_94	186142	30941216	166.22	91	234
scaffold_94_region	87125	14457817	165.94	128	189
scaffold_95	186010	21096578	113.42	67	176
scaffold_95_region	49635	5627294	113.37	89	160
scaffold_96	185912	10605197	57.04	7	84
scaffold_96_region	50019	2850084	56.98	40	74
scaffold_97	185430	21504488	115.97	72	190
scaffold_97_region	59366	7043237	118.64	98	148
scaffold_98	185419	10456698	56.39	33	141
scaffold_98_region	23698	1425668	60.16	41	85
scaffold_99	185109	16949879	91.57	44	201
scaffold_99_region	90995	7852201	86.29	44	124
scaffold_100	184823	18532658	100.27	27	259
scaffold_100_region	59545	7519064	126.28	44	259
scaffold_101	184808	22524303	121.88	71	219
scaffold_101_region	73974	8759036	118.41	92	162
scaffold_102	183946	24583611	133.65	71	270
scaffold_102_region	80585	9974455	123.78	91	262
scaffold_103	182919	29688571	162.30	91	354
scaffold_103_region	70030	13553890	193.54	95	265
scaffold_104	181962	17419227	95.73	49	240
scaffold_104_region	100975	9428700	93.38	72	121
scaffold_105	181784	15858486	87.24	57	128
scaffold_105_region	50724	4413434	87.01	68	124
scaffold_106	181367	16258972	89.65	56	134
scaffold_106_region	42407	4233593	99.83	78	134
scaffold_107	181333	29095719	160.45	113	511
scaffold_107_region	40701	6768144	166.29	117	380
scaffold_108	180834	21368298	118.17	67	289
scaffold_108_region	63208	7268210	114.99	90	158
scaffold_109	180816	10400223	57.52	26	79
scaffold_109_region	47824	2845865	59.51	36	79
scaffold_110	180263	18764977	104.10	59	242
scaffold_110_region	69604	6726970	96.65	62	125
scaffold_111	180162	21023396	116.69	67	164
scaffold_111_region	67063	7480953	111.55	79	141
scaffold_112	180155	21600953	119.90	53	219
scaffold_112_region	45499	5652949	124.24	102	219
scaffold_113	180152	23580269	130.89	64	214
scaffold_113_region	77960	10209873	130.96	98	167
scaffold_114	179882	6213659	34.54	12	68
scaffold_114_region	50940	1652715	32.44	19	45
scaffold_115	179790	20506421	114.06	84	162
scaffold_115_region	74744	8487317	113.55	84	147
scaffold_116	179102	18594096	103.82	0	179
scaffold_116_region	41449	3268506	78.86	48	151
scaffold_117	178574	10653983	59.66	34	135
scaffold_117_region	50098	2878031	57.45	39	75
scaffold_118	177788	20591142	115.82	60	163
scaffold_118_region	45710	5392580	117.97	94	135
scaffold_119	177515	20597945	116.03	56	164
scaffold_119_region	34487	4037424	117.07	82	164
scaffold_120	177366	18973893	106.98	50	141
scaffold_120_region	70708	7510313	106.22	77	138
scaffold_121	176380	21329866	120.93	78	228
scaffold_121_region	53086	6040128	113.78	94	179
scaffold_122	175726	27356526	155.68	91	204
scaffold_122_region	50431	8127293	161.16	131	178
scaffold_123	175407	19941445	113.69	52	347
scaffold_123_region	35325	3464371	98.07	81	123
scaffold_124	175080	20401891	116.53	63	167
scaffold_124_region	66870	7906333	118.23	96	159
scaffold_125	175045	8878744	50.72	18	67
scaffold_125_region	30394	1455036	47.87	32	62
scaffold_126	174913	25072736	143.34	110	222
scaffold_126_region	62085	8541218	137.57	117	209
scaffold_127	174911	21050092	120.35	0	313
scaffold_127_region	5636	637617	113.13	104	119
scaffold_128	174739	10009130	57.28	33	101
scaffold_128_region	42575	2166451	50.89	34	73
scaffold_129	174450	25378357	145.48	108	225
scaffold_129_region	50157	7253786	144.62	112	222
scaffold_130	174291	18991311	108.96	56	160
scaffold_130_region	69402	7668156	110.49	77	137
scaffold_131	173399	19221108	110.85	67	167
scaffold_131_region	39683	4354406	109.73	88	134
scaffold_132	173089	19375024	111.94	67	151
scaffold_132_region	29891	3272958	109.50	80	149
scaffold_133	172335	21751704	126.22	2	262
scaffold_133_region	33972	4396284	129.41	2	262
scaffold_134	172176	16795218	97.55	48	236
scaffold_134_region	43546	4066932	93.39	75	123
scaffold_135	172031	21455917	124.72	80	233
scaffold_135_region	39688	4780511	120.45	96	142
scaffold_136	172028	15365512	89.32	53	140
scaffold_136_region	56139	4987525	88.84	74	109
scaffold_137	171751	10750833	62.60	41	202
scaffold_137_region	39737	2288597	57.59	45	70
scaffold_138	171415	6843720	39.92	22	59
scaffold_138_region	51501	2064821	40.09	25	56
scaffold_139	171221	11142988	65.08	32	270
scaffold_139_region	42758	2701639	63.18	45	81
scaffold_140	170619	14681566	86.05	52	120
scaffold_140_region	53161	4492691	84.51	67	116
scaffold_141	170575	20699754	121.35	64	263
scaffold_141_region	28203	3217651	114.09	83	142
scaffold_142	169903	28861788	169.87	74	205
scaffold_142_region	127619	22436406	175.81	129	205
scaffold_143	169687	34150956	201.26	117	355
scaffold_143_region	35416	6606281	186.53	141	223
scaffold_144	168782	20588313	121.98	70	10168
scaffold_144_region	44902	5351900	119.19	96	159
scaffold_145	168758	25965369	153.86	76	303
scaffold_145_region	18635	2792294	149.84	114	175
scaffold_146	168525	18615286	110.46	47	178
scaffold_146_region	49821	5316130	106.70	76	127
scaffold_147	168312	20316076	120.70	74	183
scaffold_147_region	39277	4674502	119.01	99	166
scaffold_148	168115	19666008	116.98	67	278
scaffold_148_region	24338	2632417	108.16	88	127
scaffold_149	168058	11310634	67.30	30	150
scaffold_149_region	28708	1858037	64.72	46	81
scaffold_150	167983	31436934	187.14	89	439
scaffold_150_region	96503	17825411	184.71	151	230
scaffold_151	167845	19817367	118.07	81	460
scaffold_151_region	22507	2507854	111.43	97	137
scaffold_152	167694	20547223	122.53	62	210
scaffold_152_region	42055	4927322	117.16	96	138
scaffold_153	167396	15353207	91.72	47	137
scaffold_153_region	40438	3829516	94.70	76	115
scaffold_154	167272	20153809	120.49	76	175
scaffold_154_region	41899	4798540	114.53	93	156
scaffold_155	167111	24706891	147.85	87	197
scaffold_155_region	34549	5404962	156.44	126	179
scaffold_156	166976	14841426	88.88	56	261
scaffold_156_region	44860	3996852	89.10	71	128
scaffold_157	166827	19652161	117.80	59	185
scaffold_157_region	38836	4438340	114.28	96	130
scaffold_158	166052	5945448	35.80	14	55
scaffold_158_region	25540	918646	35.97	20	50
