chrom	length	bases	mean	min	max
scaffold_1	345098	5128659	14.86	0	21847
scaffold_1_region	98605	3588065	36.39	0	6523
scaffold_2	312558	1038089	3.32	0	4910
scaffold_2_region	137722	403818	2.93	0	574
scaffold_3	287976	842825	2.93	0	1438
scaffold_3_region	119187	606157	5.09	0	1438
scaffold_4	280066	1049995	3.75	0	3572
scaffold_4_region	130400	534249	4.10	0	182
scaffold_5	279783	1044745	3.73	0	11797
scaffold_5_region	138906	733436	5.28	0	370
scaffold_6	268249	943449	3.52	0	8914
scaffold_6_region	98467	220651	2.24	0	182
scaffold_7	267059	486905	1.82	0	1870
scaffold_7_region	98739	196785	1.99	0	172
scaffold_8	266172	1323702	4.97	0	524
scaffold_8_region	147469	1129571	7.66	0	398
scaffold_9	265035	3712678	14.01	0	85480
scaffold_9_region	78016	490242	6.28	0	2448
scaffold_10	264164	1777912	6.73	0	7686
scaffold_10_region	117096	1012093	8.64	0	333
scaffold_11	261329	409963	1.57	0	1350
scaffold_11_region	96202	234013	2.43	0	945
scaffold_12	261008	34570821	132.45	0	42059
scaffold_12_region	89003	245717	2.76	0	538
scaffold_13	260741	3304105	12.67	0	31264
scaffold_13_region	126771	1664586	13.13	0	780
scaffold_14	257940	476142	1.85	0	1661
scaffold_14_region	91628	181052	1.98	0	120
scaffold_15	251256	351332	1.40	0	391
scaffold_15_region	141485	250664	1.77	0	266
scaffold_16	251232	372673	1.48	0	349
scaffold_16_region	101470	268383	2.64	0	342
scaffold_17	250631	1828808	7.30	0	49801
scaffold_17_region	144294	1686528	11.69	0	49801
scaffold_18	246065	477795	1.94	0	2213
scaffold_18_region	53143	103007	1.94	0	102
scaffold_19	245994	702338	2.86	0	1653
scaffold_19_region	101795	437438	4.30	0	245
scaffold_20	244099	1254558	5.14	0	20503
scaffold_20_region	110985	613513	5.53	0	185
scaffold_21	236026	716212	3.03	0	3930
scaffold_21_region	90960	337268	3.71	0	155
scaffold_22	235239	1048638	4.46	0	3665
scaffold_22_region	108283	719432	6.64	0	493
scaffold_23	232614	1597061	6.87	0	32746
scaffold_23_region	125676	782286	6.22	0	1297
scaffold_24	231500	324205	1.40	0	776
scaffold_24_region	62198	151775	2.44	0	572
scaffold_25	231036	588682	2.55	0	482
scaffold_25_region	111659	477152	4.27	0	243
scaffold_26	230790	413960	1.79	0	558
scaffold_26_region	99488	314141	3.16	0	181
scaffold_27	229760	668561	2.91	0	2619
scaffold_27_region	100584	293646	2.92	0	672
scaffold_28	227861	798980	3.51	0	1498
scaffold_28_region	76168	509671	6.69	0	327
scaffold_29	226334	474960	2.10	0	382
scaffold_29_region	92574	315795	3.41	0	382
scaffold_30	224926	662909	2.95	0	5376
scaffold_30_region	86294	299579	3.47	0	5376
scaffold_31	218345	1097116	5.02	0	4386
scaffold_31_region	106413	630929	5.93	0	287
scaffold_32	218243	1415272	6.48	0	43019
scaffold_32_region	61632	236692	3.84	0	163
scaffold_33	214922	561011	2.61	0	582
scaffold_33_region	99256	415825	4.19	0	582
scaffold_34	214711	541162	2.52	0	2161
scaffold_34_region	102640	321906	3.14	0	2161
scaffold_35	205623	306342	1.49	0	1249
scaffold_35_region	79283	179207	2.26	0	125
scaffold_36	205583	666942	3.24	0	1610
scaffold_36_region	79533	492400	6.19	0	284
scaffold_37	204377	1876666	9.18	0	4176
scaffold_37_region	58774	565431	9.62	0	638
scaffold_38	204214	352734	1.73	0	262
scaffold_38_region	72173	214243	2.97	0	262
scaffold_39	203631	420943	2.07	0	429
scaffold_39_region	93939	355269	3.78	0	429
scaffold_40	203613	874434	4.29	0	25678
scaffold_40_region	62689	124715	1.99	0	160
scaffold_41	202278	421043	2.08	0	2842
scaffold_41_region	99053	261732	2.64	0	97
scaffold_42	202103	1434741	7.10	0	20594
scaffold_42_region	106080	1050735	9.91	0	20594
scaffold_43	201235	1606170	7.98	0	6731
scaffold_43_region	43924	1369896	31.19	0	6731
scaffold_44	199526	784442	3.93	0	6979
scaffold_44_region	89604	372921	4.16	0	6034
scaffold_45	198920	493229	2.48	0	11356
scaffold_45_region	74382	200428	2.69	0	269
scaffold_46	197580	1106960	5.60	0	1938
scaffold_46_region	51285	957264	18.67	0	1938
scaffold_47	197527	611567	3.10	0	401
scaffold_47_region	101772	484897	4.76	0	401
scaffold_48	196824	1278406	6.50	0	33802
scaffold_48_region	55174	142009	2.57	0	180
