chrom	length	bases	mean	min	max
scaffold_1	179448	3492231	19.46	8	44
scaffold_1_region	131311	2548913	19.41	0	35
scaffold_2	160235	41740311	260.49	5	2714
scaffold_2_region	2260	506626	224.17	37	1060
scaffold_3	151914	2862917	18.85	3	48
scaffold_3_region	89692	1710982	19.08	5	42
scaffold_4	148811	2825502	18.99	5	118
scaffold_4_region	108642	1978090	18.21	6	48
scaffold_5	135761	3202035	23.59	3	74
scaffold_5_region	89900	2104096	23.40	10	45
scaffold_6	129058	1263812782	9792.60	62	24972
scaffold_6_region	34041	321347190	9440.00	388	18290
scaffold_7	126374	3216207	25.45	0	472
scaffold_7_region	79451	1729620	21.77	11	34
scaffold_8	123654	2462512	19.91	4	67
scaffold_8_region	60937	1294981	21.25	11	34
scaffold_9	121750	3489380	28.66	1	166
scaffold_9_region	71747	1614280	22.50	8	62
scaffold_10	121012	2759177	22.80	2	111
scaffold_10_region	58251	1218970	20.93	11	49
scaffold_11	116255	3713661	31.94	6	246
scaffold_11_region	71747	1832042	25.53	12	41
scaffold_12	111772	2029591	18.16	8	62
scaffold_12_region	80116	1447042	18.06	8	33
scaffold_13	111290	2944533	26.46	11	201
scaffold_13_region	86857	1829847	21.07	11	57
scaffold_14	108533	2044343	18.84	3	45
scaffold_14_region	75970	1446615	19.04	9	34
scaffold_15	107844	2773543	25.72	7	62
scaffold_15_region	75290	1888241	25.08	10	46
scaffold_16	107789	2038521	18.91	8	47
scaffold_16_region	78115	1456215	18.64	8	34
scaffold_17	107762	1980041	18.37	6	34
scaffold_17_region	72932	1350368	18.52	7	34
scaffold_18	107112	2347552	21.92	3	41
scaffold_18_region	81168	1803959	22.23	6	41
scaffold_19	105030	2910676	27.71	6	149
scaffold_19_region	62647	1367811	21.83	8	115
scaffold_20	103555	1807745	17.46	2	85
scaffold_20_region	65993	1047654	15.88	7	31
scaffold_21	102539	2179109	21.25	1	44
scaffold_21_region	12436	246245	19.80	2	33
scaffold_22	102017	2386210	23.39	2	60
scaffold_22_region	57671	1304080	22.61	11	40
scaffold_23	96844	2221808	22.94	7	112
scaffold_23_region	80828	1721499	21.30	10	38
scaffold_24	96817	2472712	25.54	0	84
scaffold_24_region	61728	1527380	24.74	10	59
scaffold_25	96613	1730922	17.92	9	30
scaffold_25_region	55020	1000623	18.19	10	29
scaffold_26	96469	3447408	35.74	6	301
scaffold_26_region	31656	655108	20.69	10	35
scaffold_27	96408	2275886	23.61	5	72
scaffold_27_region	61192	1347204	22.02	11	40
scaffold_28	95980	2406997	25.08	9	166
scaffold_28_region	63561	1263693	19.88	9	37
scaffold_29	95367	2484523	26.05	8	75
scaffold_29_region	41523	913737	22.01	8	33
scaffold_30	95002	3303664	34.77	3	214
scaffold_30_region	58222	1540409	26.46	12	48
scaffold_31	94780	1999599	21.10	6	45
scaffold_31_region	62769	1419481	22.61	10	45
scaffold_32	94721	1929940	20.37	5	100
scaffold_32_region	63824	1191556	18.67	5	34
scaffold_33	94561	1921366	20.32	2	72
scaffold_33_region	57795	1220193	21.11	10	34
scaffold_34	94416	2135608	22.62	7	73
scaffold_34_region	43297	859570	19.85	9	31
scaffold_35	94408	1640224	17.37	1	58
scaffold_35_region	65542	1140359	17.40	8	30
scaffold_36	94402	2370512	25.11	3	58
scaffold_36_region	44900	1037940	23.12	4	46
scaffold_37	93900	1985523	21.15	7	56
scaffold_37_region	57648	1174206	20.37	8	35
scaffold_38	93510	1999911	21.39	1	42
scaffold_38_region	71315	1572529	22.05	12	37
scaffold_39	93093	2862262	30.75	9	115
scaffold_39_region	37448	937247	25.03	13	36
scaffold_40	92821	2147086	23.13	7	96
scaffold_40_region	43717	932456	21.33	9	35
scaffold_41	92666	1857195	20.04	7	84
scaffold_41_region	56405	1027966	18.22	10	36
scaffold_42	92073	1836232	19.94	5	74
scaffold_42_region	54849	1029904	18.78	9	41
scaffold_43	91845	2172377	23.65	5	112
scaffold_43_region	42097	852412	20.25	8	37
scaffold_44	90441	2619884	28.97	2	164
scaffold_44_region	55751	1308990	23.48	11	37
scaffold_45	88767	2044097	23.03	5	66
scaffold_45_region	52087	1118975	21.48	12	42
scaffold_46	87833	1676894	19.09	1	46
scaffold_46_region	57752	1133945	19.63	10	30
scaffold_47	87460	1885170	21.55	8	71
scaffold_47_region	47758	926126	19.39	8	34
scaffold_48	87375	40788718	466.82	8	3593
scaffold_48_region	11510	423039	36.75	9	3166
scaffold_49	87192	2167990	24.86	3	132
scaffold_49_region	42128	775647	18.41	10	30
scaffold_50	85856	1760066	20.50	0	107
scaffold_50_region	23137	399934	17.29	10	31
scaffold_51	85834	1954426	22.77	7	40
scaffold_51_region	32766	762650	23.28	11	34
scaffold_52	85590	1830941	21.39	4	40
scaffold_52_region	53509	1101071	20.58	11	31
scaffold_53	84500	2281967	27.01	5	63
scaffold_53_region	27490	655448	23.84	12	37
scaffold_54	84398	2182311	25.86	4	142
scaffold_54_region	50925	991089	19.46	6	36
scaffold_55	84006	2354742	28.03	2	78
scaffold_55_region	40598	1026256	25.28	14	35
scaffold_56	83134	1382264	16.63	2	29
scaffold_56_region	36677	588510	16.05	8	28
scaffold_57	83061	404855323	4874.19	9	12409
scaffold_57_region	8848	57290232	6474.94	162	12355
scaffold_58	82296	1259892	15.31	5	26
scaffold_58_region	54560	870882	15.96	7	26
scaffold_59	82089	1540969	18.77	7	178
scaffold_59_region	54216	808423	14.91	7	32
scaffold_60	81705	2435349	29.81	7	195
scaffold_60_region	55176	1079037	19.56	7	35
scaffold_61	81473	1707821	20.96	7	38
scaffold_61_region	54042	1137808	21.05	7	38
scaffold_62	81226	1566187	19.28	4	96
scaffold_62_region	63546	1142452	17.98	6	31
scaffold_63	81088	1325239	16.34	6	35
scaffold_63_region	65257	1061936	16.27	6	35
scaffold_64	80846	1836961	22.72	4	40
scaffold_64_region	57621	1396199	24.23	11	40
scaffold_65	80735	1977990	24.50	1	220
scaffold_65_region	63269	1398108	22.10	10	41
scaffold_66	80561	1606670	19.94	10	38
scaffold_66_region	46349	932561	20.12	10	35
scaffold_67	79909	1860866	23.29	4	120
scaffold_67_region	32708	661757	20.23	11	31
scaffold_68	79764	1324862	16.61	6	33
scaffold_68_region	54082	928960	17.18	6	31
scaffold_69	79688	1424760	17.88	1	40
scaffold_69_region	49303	980643	19.89	7	40
scaffold_70	79042	1187918	15.03	1	24
scaffold_70_region	60901	945252	15.52	6	24
scaffold_71	78706	1590042	20.20	10	53
scaffold_71_region	44781	831772	18.57	10	30
scaffold_72	78440	1624909	20.72	3	48
scaffold_72_region	23831	485098	20.36	8	33
scaffold_73	77695	1888277	24.30	3	39
scaffold_73_region	42808	1086800	25.39	11	39
scaffold_74	77557	1682622	21.70	5	83
scaffold_74_region	46926	908162	19.35	8	41
scaffold_75	77497	1790399	23.10	9	84
scaffold_75_region	52008	1075398	20.68	9	42
scaffold_76	77426	1490671	19.25	3	46
scaffold_76_region	40104	749207	18.68	8	38
scaffold_77	77156	2411412	31.25	9	115
scaffold_77_region	22270	599160	26.90	14	41
scaffold_78	77008	1405556	18.25	0	51
scaffold_78_region	40174	671502	16.71	8	30
scaffold_79	76964	1631789	21.20	0	254
scaffold_79_region	39916	628432	15.74	5	28
scaffold_80	76920	1382696	17.98	2	40
scaffold_80_region	38996	731841	18.77	9	40
scaffold_81	76870	2009002	26.14	7	124
scaffold_81_region	56789	1274377	22.44	9	37
scaffold_82	76542	2587752	33.81	7	186
scaffold_82_region	34059	832659	24.45	13	43
scaffold_83	76300	1347309	17.66	3	58
scaffold_83_region	46494	843236	18.14	8	34
scaffold_84	75271	1638336	21.77	9	120
scaffold_84_region	40789	782434	19.18	10	31
scaffold_85	75252	2388256	31.74	3	109
scaffold_85_region	31126	1195044	38.39	12	67
scaffold_86	74790	2031361	27.16	3	114
scaffold_86_region	19021	490915	25.81	13	35
scaffold_87	73861	2338836	31.67	0	106
scaffold_87_region	48905	1283158	26.24	11	41
scaffold_88	73676	1529104	20.75	7	66
scaffold_88_region	38185	777852	20.37	11	36
scaffold_89	72915	1278566	17.54	7	37
scaffold_89_region	33734	558019	16.54	9	30
scaffold_90	72294	1413573	19.55	8	35
scaffold_90_region	58565	1193526	20.38	8	35
scaffold_91	72130	1631625	22.62	2	85
scaffold_91_region	26133	572390	21.90	5	31
scaffold_92	71962	1420644	19.74	3	50
scaffold_92_region	37121	739583	19.92	11	34
scaffold_93	71902	1402130	19.50	0	45
scaffold_93_region	46620	908753	19.49	9	45
scaffold_94	71892	1615347	22.47	4	38
scaffold_94_region	38335	891628	23.26	14	33
scaffold_95	71782	1279860	17.83	7	76
scaffold_95_region	42376	764983	18.05	8	38
scaffold_96	71449	1454963	20.36	9	42
scaffold_96_region	46380	925170	19.95	11	42
scaffold_97	71338	1501492	21.05	2	37
scaffold_97_region	50140	1146016	22.86	9	37
scaffold_98	71212	1733187	24.34	4	158
scaffold_98_region	37615	808353	21.49	7	37
scaffold_99	71051	1576799	22.19	0	109
scaffold_99_region	43136	933036	21.63	10	36
scaffold_100	70953	1148233	16.18	1	30
scaffold_100_region	56156	941066	16.76	4	30
scaffold_101	70714	1687376	23.86	5	70
scaffold_101_region	46834	1030880	22.01	10	35
scaffold_102	70576	292010140	4137.53	17	9194
scaffold_102_region	1670	10144426	6074.51	5022	8131
scaffold_103	70197	1268282	18.07	8	34
scaffold_103_region	35776	596707	16.68	8	30
scaffold_104	70160	1402788	19.99	5	42
scaffold_104_region	46939	994087	21.18	9	42
scaffold_105	70052	1472438	21.02	3	74
scaffold_105_region	41564	769745	18.52	8	31
scaffold_106	69898	1209345	17.30	0	42
scaffold_106_region	37872	603897	15.95	8	30
scaffold_107	69586	1401115	20.14	9	40
scaffold_107_region	48204	930036	19.29	10	35
scaffold_108	69441	1034732	14.90	6	42
scaffold_108_region	30350	435584	14.35	8	28
scaffold_109	69306	1015149	14.65	1	29
scaffold_109_region	47051	756542	16.08	2	29
scaffold_110	69272	2835867	40.94	10	510
scaffold_110_region	48987	988831	20.19	10	35
