chrom	length	bases	mean	min	max
JASJQH010000001.1	86150	2003622	23.26	2	161
JASJQH010000001.1_region	66568	1500678	22.54	0	161
JASJQH010000002.1	74312	1755786	23.63	2	108
JASJQH010000002.1_region	56765	1329391	23.42	2	108
JASJQH010000003.1	73279	1959062	26.73	3	1780
JASJQH010000003.1_region	46518	1205125	25.91	5	1780
JASJQH010000004.1	70574	1498886	21.24	1	69
JASJQH010000004.1_region	56911	1196605	21.03	1	69
JASJQH010000005.1	68063	1592456	23.40	1	93
JASJQH010000005.1_region	49973	1130064	22.61	2	93
JASJQH010000006.1	61419	1390665	22.64	1	76
JASJQH010000006.1_region	48909	1091802	22.32	1	76
JASJQH010000007.1	61268	1321805	21.57	1	89
JASJQH010000007.1_region	47219	1014898	21.49	1	89
JASJQH010000008.1	59311	1386539	23.38	2	312
JASJQH010000008.1_region	45847	1018810	22.22	6	107
JASJQH010000009.1	58363	1268466	21.73	2	54
JASJQH010000009.1_region	49434	1021451	20.66	4	54
JASJQH010000010.1	57365	1350027	23.53	2	124
JASJQH010000010.1_region	40076	910884	22.73	3	124
JASJQH010000011.1	57112	1305520	22.86	0	99
JASJQH010000011.1_region	35101	753409	21.46	5	52
JASJQH010000012.1	54911	1273939	23.20	0	62
JASJQH010000012.1_region	46746	1063274	22.75	0	54
JASJQH010000013.1	54007	1446627	26.79	2	1034
JASJQH010000013.1_region	39595	871959	22.02	6	86
JASJQH010000014.1	53554	1299962	24.27	0	240
JASJQH010000014.1_region	36697	894938	24.39	5	240
JASJQH010000015.1	51651	1215064	23.52	2	442
JASJQH010000015.1_region	48362	1097465	22.69	4	442
JASJQH010000016.1	51258	1237712	24.15	4	89
JASJQH010000016.1_region	40949	959808	23.44	7	61
JASJQH010000017.1	50761	1189200	23.43	3	111
JASJQH010000017.1_region	38721	891799	23.03	5	52
JASJQH010000018.1	49845	1169894	23.47	1	96
JASJQH010000018.1_region	38726	873980	22.57	4	96
JASJQH010000019.1	49655	1232032	24.81	1	522
JASJQH010000019.1_region	40565	943870	23.27	5	74
JASJQH010000020.1	48262	1232898	25.55	7	138
JASJQH010000020.1_region	36997	927036	25.06	7	67
JASJQH010000021.1	47999	1180320	24.59	4	79
JASJQH010000021.1_region	36097	868112	24.05	6	55
JASJQH010000022.1	46756	1033539	22.10	2	165
JASJQH010000022.1_region	33729	712154	21.11	7	165
JASJQH010000023.1	46389	1047069	22.57	3	76
JASJQH010000023.1_region	32094	695658	21.68	3	61
JASJQH010000024.1	46356	1038705	22.41	1	59
JASJQH010000024.1_region	33712	716370	21.25	4	50
JASJQH010000025.1	45842	1135093	24.76	1	137
JASJQH010000025.1_region	29787	711067	23.87	4	137
JASJQH010000026.1	45315	1082505	23.89	5	1240
JASJQH010000026.1_region	31464	738141	23.46	5	1240
JASJQH010000027.1	45150	1116769	24.73	3	99
JASJQH010000027.1_region	26923	616988	22.92	7	58
JASJQH010000028.1	44802	1062302	23.71	2	119
JASJQH010000028.1_region	28993	650586	22.44	5	74
JASJQH010000029.1	44615	1111427	24.91	1	109
JASJQH010000029.1_region	33983	828909	24.39	5	109
JASJQH010000030.1	44430	1046975	23.56	4	89
JASJQH010000030.1_region	35957	835612	23.24	4	51
JASJQH010000031.1	44000	977112	22.21	3	62
JASJQH010000031.1_region	36089	780806	21.64	3	62
JASJQH010000032.1	43381	965485	22.26	2	63
JASJQH010000032.1_region	34151	759109	22.23	4	63
JASJQH010000033.1	42843	1006233	23.49	1	254
JASJQH010000033.1_region	31776	727136	22.88	4	254
JASJQH010000034.1	42537	959300	22.55	4	64
JASJQH010000034.1_region	37321	820471	21.98	5	64
JASJQH010000035.1	42022	1291680	30.74	5	1403
JASJQH010000035.1_region	28000	638379	22.80	5	55
JASJQH010000036.1	41762	495925	11.88	1	174
JASJQH010000036.1_region	26749	303174	11.33	2	34
JASJQH010000037.1	40575	882255	21.74	1	160
JASJQH010000037.1_region	33839	716462	21.17	1	160
JASJQH010000038.1	40361	922418	22.85	3	63
JASJQH010000038.1_region	31901	717627	22.50	5	52
JASJQH010000039.1	39984	903827	22.60	1	74
JASJQH010000039.1_region	31203	697793	22.36	2	74
JASJQH010000040.1	39921	936412	23.46	3	107
JASJQH010000040.1_region	25957	566751	21.83	5	73
JASJQH010000041.1	39616	567099	14.31	1	46
JASJQH010000041.1_region	16695	203828	12.21	1	31
JASJQH010000042.1	39414	890225	22.59	0	52
JASJQH010000042.1_region	23511	520663	22.15	5	52
JASJQH010000043.1	39257	487864	12.43	1	116
JASJQH010000043.1_region	25720	306515	11.92	1	116
JASJQH010000044.1	39109	874501	22.36	0	77
JASJQH010000044.1_region	32669	710906	21.76	0	77
JASJQH010000045.1	38998	908591	23.30	0	60
JASJQH010000045.1_region	32463	744914	22.95	1	60
JASJQH010000046.1	38556	975640	25.30	1	426
JASJQH010000046.1_region	26538	653215	24.61	10	426
JASJQH010000047.1	38371	876955	22.85	4	55
JASJQH010000047.1_region	26399	569957	21.59	5	55
JASJQH010000048.1	38251	907300	23.72	1	123
JASJQH010000048.1_region	33143	781037	23.57	1	123
JASJQH010000049.1	38204	843213	22.07	5	60
JASJQH010000049.1_region	29364	626605	21.34	5	56
JASJQH010000050.1	38105	512040	13.44	1	72
JASJQH010000050.1_region	14794	200078	13.52	2	72
JASJQH010000051.1	37933	797481	21.02	1	182
JASJQH010000051.1_region	32221	660444	20.50	1	182
JASJQH010000052.1	37637	967881	25.72	1	91
JASJQH010000052.1_region	29728	727204	24.46	4	68
JASJQH010000053.1	37289	880882	23.62	4	157
JASJQH010000053.1_region	28006	607324	21.69	4	51
JASJQH010000054.1	37179	847311	22.79	1	65
JASJQH010000054.1_region	29068	654104	22.50	5	57
JASJQH010000055.1	37017	977935	26.42	1	226
JASJQH010000055.1_region	28393	718306	25.30	5	226
JASJQH010000056.1	36861	510447	13.85	1	167
JASJQH010000056.1_region	12946	151819	11.73	1	26
JASJQH010000057.1	36775	856926	23.30	5	60
JASJQH010000057.1_region	29567	659336	22.30	7	51
JASJQH010000058.1	36516	500145	13.70	1	49
JASJQH010000058.1_region	18222	245397	13.47	1	48
JASJQH010000059.1	36069	1316080	36.49	1	659
JASJQH010000059.1_region	28704	1029414	35.86	3	659
JASJQH010000060.1	36038	855957	23.75	2	74
JASJQH010000060.1_region	24379	576005	23.63	2	58
JASJQH010000061.1	36031	1041632	28.91	7	1385
JASJQH010000061.1_region	19748	461616	23.38	7	56
JASJQH010000062.1	35895	430966	12.01	1	46
JASJQH010000062.1_region	16592	186225	11.22	2	31
JASJQH010000063.1	35538	793867	22.34	1	94
JASJQH010000063.1_region	29377	641974	21.85	1	94
JASJQH010000064.1	35382	784733	22.18	2	87
JASJQH010000064.1_region	20812	451632	21.70	5	87
JASJQH010000065.1	34773	761303	21.89	1	54
JASJQH010000065.1_region	27267	596104	21.86	3	54
JASJQH010000066.1	34397	497802	14.47	1	707
JASJQH010000066.1_region	11334	149442	13.19	1	41
JASJQH010000067.1	34228	820072	23.96	1	57
JASJQH010000067.1_region	28141	663945	23.59	5	57
JASJQH010000068.1	34111	1055271	30.94	6	1001
JASJQH010000068.1_region	15884	355360	22.37	8	100
JASJQH010000069.1	33840	2276601	67.28	3	18397
JASJQH010000069.1_region	30051	2177393	72.46	3	18397
JASJQH010000070.1	33789	940064	27.82	5	1044
JASJQH010000070.1_region	27005	623479	23.09	5	1044
JASJQH010000071.1	33728	1038196	30.78	2	6335
JASJQH010000071.1_region	16157	208103	12.88	2	29
JASJQH010000072.1	33637	806511	23.98	0	57
JASJQH010000072.1_region	24894	585954	23.54	5	55
JASJQH010000073.1	33535	815068	24.30	3	67
JASJQH010000073.1_region	23757	552346	23.25	4	58
JASJQH010000074.1	33498	790390	23.60	2	1542
JASJQH010000074.1_region	23810	563465	23.67	2	1542
JASJQH010000075.1	33447	736191	22.01	2	59
JASJQH010000075.1_region	22366	479833	21.45	5	59
JASJQH010000076.1	33314	756572	22.71	2	86
JASJQH010000076.1_region	28780	643572	22.36	2	86
JASJQH010000077.1	33193	812075	24.47	0	66
JASJQH010000077.1_region	25995	584080	22.47	1	56
JASJQH010000078.1	33114	775076	23.41	2	66
JASJQH010000078.1_region	24394	551889	22.62	3	48
JASJQH010000079.1	32901	799907	24.31	0	90
