chrom	length	bases	mean	min	max
scaffold_1	345098	136433494	395.35	7	13215
scaffold_1_region	98605	34996064	354.91	0	13204
scaffold_2	312558	53502884	171.18	32	2187
scaffold_2_region	137722	24037919	174.54	83	316
scaffold_3	287976	57870522	200.96	16	487
scaffold_3_region	119187	25660498	215.30	78	401
scaffold_4	280066	86224637	307.87	15	979
scaffold_4_region	130400	41969214	321.85	15	434
scaffold_5	279783	73098575	261.27	38	654
scaffold_5_region	138906	39878036	287.09	141	392
scaffold_6	268249	31939475	119.07	13	441
scaffold_6_region	98467	11284214	114.60	67	171
scaffold_7	267059	48066184	179.98	65	845
scaffold_7_region	98739	16718692	169.32	101	248
scaffold_8	266172	54052198	203.07	41	604
scaffold_8_region	147469	32430961	219.92	119	319
scaffold_9	265035	64390595	242.95	40	796
scaffold_9_region	78016	21552329	276.26	130	491
scaffold_10	264164	45234439	171.24	45	837
scaffold_10_region	117096	22075801	188.53	81	346
scaffold_11	261329	30242844	115.73	23	247
scaffold_11_region	96202	11216683	116.60	61	163
scaffold_12	261008	70586989	270.44	42	34513
scaffold_12_region	89003	9892877	111.15	70	172
scaffold_13	260741	63429173	243.27	10	361
scaffold_13_region	126771	34593109	272.88	174	361
scaffold_14	257940	43007622	166.73	52	476
scaffold_14_region	91628	16036114	175.01	55	438
scaffold_15	251256	74607608	296.94	32	439
scaffold_15_region	141485	44772664	316.45	96	439
scaffold_16	251232	34512033	137.37	46	1784
scaffold_16_region	101470	11451057	112.85	79	163
scaffold_17	250631	64248837	256.35	10	450
scaffold_17_region	144294	39204927	271.70	147	352
scaffold_18	246065	30437207	123.70	55	274
scaffold_18_region	53143	7304346	137.45	71	245
scaffold_19	245994	38733601	157.46	72	3119
scaffold_19_region	101795	11881862	116.72	75	157
scaffold_20	244099	28111017	115.16	2	305
scaffold_20_region	110985	12554333	113.12	68	193
scaffold_21	236026	37752352	159.95	55	383
scaffold_21_region	90960	13951114	153.38	92	228
scaffold_22	235239	45390393	192.95	25	522
scaffold_22_region	108283	23010192	212.50	98	286
scaffold_23	232614	54562706	234.56	120	684
scaffold_23_region	125676	28626112	227.78	166	385
scaffold_24	231500	41443299	179.02	65	433
scaffold_24_region	62198	10966249	176.31	123	397
scaffold_25	231036	36897986	159.71	1	236
scaffold_25_region	111659	18642509	166.96	19	236
scaffold_26	230790	55950945	242.43	30	986
scaffold_26_region	99488	27136153	272.76	114	352
scaffold_27	229760	57003165	248.10	26	707
scaffold_27_region	100584	25700528	255.51	50	420
scaffold_28	227861	46862285	205.66	15	454
scaffold_28_region	76168	19665152	258.18	125	378
scaffold_29	226334	40571634	179.26	67	704
scaffold_29_region	92574	15300128	165.27	112	212
scaffold_30	224926	40283138	179.10	39	599
scaffold_30_region	86294	14545992	168.56	110	242
scaffold_31	218345	40902724	187.33	50	454
scaffold_31_region	106413	23818109	223.83	140	331
scaffold_32	218243	36930428	169.22	6	1366
scaffold_32_region	61632	11685417	189.60	86	310
scaffold_33	214922	40275538	187.40	21	452
scaffold_33_region	99256	20900289	210.57	100	288
scaffold_34	214711	40228753	187.36	18	365
scaffold_34_region	102640	19954298	194.41	93	335
scaffold_35	205623	24790414	120.56	20	615
scaffold_35_region	79283	8614113	108.65	69	158
scaffold_36	205583	49052779	238.60	28	1985
scaffold_36_region	79533	17177051	215.97	126	274
scaffold_37	204377	37725505	184.59	35	373
scaffold_37_region	58774	12308851	209.43	112	288
scaffold_38	204214	24140329	118.21	43	436
scaffold_38_region	72173	8334454	115.48	78	163
scaffold_39	203631	43573861	213.98	40	352
scaffold_39_region	93939	22890336	243.67	85	351
scaffold_40	203613	37651697	184.92	69	680
scaffold_40_region	62689	10708612	170.82	122	234
scaffold_41	202278	23005093	113.73	1	213
scaffold_41_region	99053	11013627	111.19	71	163
scaffold_42	202103	81921604	405.35	58	4632
scaffold_42_region	106080	23764773	224.03	92	634
scaffold_43	201235	50957923	253.23	22	4098
scaffold_43_region	43924	11352374	258.45	54	4092
scaffold_44	199526	43286202	216.95	25	692
scaffold_44_region	89604	18221479	203.36	48	288
scaffold_45	198920	44201193	222.21	11	447
scaffold_45_region	74382	18175256	244.35	32	318
scaffold_46	197580	47393200	239.87	1	3179
scaffold_46_region	51285	13084792	255.14	92	3173
scaffold_47	197527	38002076	192.39	13	305
scaffold_47_region	101772	22217927	218.31	99	305
scaffold_48	196824	37281749	189.42	26	867
scaffold_48_region	55174	9504538	172.26	123	225
scaffold_49	196271	25296942	128.89	67	440
scaffold_49_region	58848	7803249	132.60	67	179
scaffold_50	196094	37794602	192.74	46	816
scaffold_50_region	82342	18394664	223.39	82	354
scaffold_51	195978	38488337	196.39	17	948
scaffold_51_region	94818	21165604	223.22	161	309
scaffold_52	195875	54789184	279.72	123	1625
scaffold_52_region	89054	23372456	262.45	138	336
scaffold_53	195720	39041869	199.48	2	682
scaffold_53_region	87265	18033804	206.66	3	304
scaffold_54	195626	24210610	123.76	71	636
scaffold_54_region	48256	5792953	120.05	71	155
scaffold_55	195568	22229632	113.67	5	315
scaffold_55_region	112989	12921706	114.36	76	149
scaffold_56	195544	58121100	297.23	89	2215
scaffold_56_region	65450	16530690	252.57	109	533
scaffold_57	195528	50685878	259.23	76	838
scaffold_57_region	74768	20469098	273.77	209	341
scaffold_58	195199	37522645	192.23	12	1274
scaffold_58_region	51350	11680568	227.47	177	395
scaffold_59	194855	24225420	124.33	38	702
scaffold_59_region	69366	8209398	118.35	72	168
scaffold_60	194042	29914802	154.17	3	335
scaffold_60_region	22591	5027130	222.53	16	335
scaffold_61	193232	24639133	127.51	45	626
scaffold_61_region	68753	7964555	115.84	57	159
scaffold_62	192483	31902544	165.74	88	209
scaffold_62_region	56809	9601541	169.01	117	209
scaffold_63	192077	24670213	128.44	17	479
scaffold_63_region	59167	6617406	111.84	67	155
scaffold_64	191282	38956584	203.66	23	423
scaffold_64_region	45416	10574683	232.84	128	344
scaffold_65	191030	22960298	120.19	21	550
scaffold_65_region	73560	8346104	113.46	69	150
scaffold_66	190381	23649062	124.22	17	371
scaffold_66_region	68954	7334168	106.36	60	156
scaffold_67	188334	39073293	207.47	69	628
scaffold_67_region	44481	10934173	245.82	70	518
scaffold_68	187937	40249769	214.17	64	803
scaffold_68_region	83070	21524206	259.11	82	526
scaffold_69	187922	22319281	118.77	64	231
scaffold_69_region	42888	4979743	116.11	72	165
scaffold_70	187137	30641662	163.74	45	1042
scaffold_70_region	75788	14473033	190.97	85	255
scaffold_71	186328	29180288	156.61	67	483
scaffold_71_region	62544	13015496	208.10	74	298
scaffold_72	185201	36103207	194.94	42	924
scaffold_72_region	76265	16532878	216.78	111	298
