chrom	length	bases	mean	min	max
scaffold_1	178727	16896335	94.54	0	10034
scaffold_2	169477	23539011	138.89	0	5638
scaffold_3	164936	1450234	8.79	0	473
scaffold_4	162459	10841667	66.73	0	2851
scaffold_5	157566	5607681	35.59	0	819
scaffold_6	157331	14188472	90.18	0	6965
scaffold_7	156811	15695790	100.09	0	6389
scaffold_8	149558	13660195	91.34	0	1404
scaffold_9	146551	12280387	83.80	0	6608
scaffold_10	136491	3340259	24.47	0	861
scaffold_11	136349	13842852	101.53	0	13905
scaffold_12	134972	44722365	331.35	0	10370
scaffold_13	134093	18801923	140.22	0	13930
scaffold_14	132655	7515121	56.65	0	1850
scaffold_15	129522	7987243	61.67	0	6511
scaffold_16	128778	16587610	128.81	0	14890
scaffold_17	125222	21054898	168.14	0	7721
scaffold_18	125118	22956206	183.48	0	15438
scaffold_19	124594	10184272	81.74	0	6185
scaffold_20	124362	9569140	76.95	0	5198
scaffold_21	119289	13632134	114.28	0	6570
scaffold_22	118100	29244662	247.63	0	18744
scaffold_23	118027	34640147	293.49	0	14594
scaffold_24	116362	16197660	139.20	0	7680
scaffold_25	116313	11490651	98.79	0	1781
scaffold_26	115949	12251900	105.67	0	2613
scaffold_27	115264	12636406	109.63	0	4232
scaffold_28	115146	12565444	109.13	0	4659
scaffold_29	114987	11713715	101.87	0	7461
scaffold_30	114482	18450269	161.16	0	11445
scaffold_31	113794	36513297	320.87	0	28377
scaffold_32	111164	12156137	109.35	0	8389
scaffold_33	111132	8601908	77.40	0	1722
scaffold_34	110970	2073734	18.69	0	895
scaffold_35	110698	10334185	93.35	0	4392
scaffold_36	109872	11120577	101.21	0	12664
scaffold_37	109719	6543553	59.64	0	836
scaffold_38	109579	11316622	103.27	0	7431
scaffold_39	109437	5575260	50.94	0	1747
scaffold_40	109435	7774416	71.04	0	3212
scaffold_41	108938	27055559	248.36	0	18762
scaffold_42	107748	17906053	166.18	0	31997
scaffold_43	107727	10639365	98.76	0	3543
scaffold_44	107046	21532476	201.15	0	14979
scaffold_45	106984	9611075	89.84	0	8510
scaffold_46	106580	17814614	167.15	0	27036
scaffold_47	106121	3024232	28.50	0	1128
scaffold_48	105510	20318920	192.58	0	16921
scaffold_49	105335	23496461	223.06	0	10170
scaffold_50	104632	27138049	259.37	0	18189
scaffold_51	104631	10663280	101.91	0	2041
scaffold_52	104328	6088478	58.36	0	1614
scaffold_53	104243	6117681	58.69	0	3873
scaffold_54	104173	6311630	60.59	0	2916
scaffold_55	103520	14474214	139.82	0	10507
scaffold_56	103126	27989143	271.41	0	12149
scaffold_57	102640	21346714	207.98	0	7488
scaffold_58	101939	17758103	174.20	0	9951
scaffold_59	101898	4339017	42.58	0	2397
scaffold_60	101408	24818490	244.74	0	13625
scaffold_61	99494	4715361	47.39	0	2708
scaffold_62	99360	15875848	159.78	0	12202
scaffold_63	99296	8437446	84.97	0	1711
scaffold_64	99286	24634668	248.12	0	19940
scaffold_65	99095	17388050	175.47	0	9816
scaffold_66	98790	20749348	210.03	0	26312
scaffold_67	98710	25285552	256.16	0	11477
scaffold_68	98512	8771970	89.04	0	1563
scaffold_69	98104	16656493	169.78	0	12781
scaffold_70	97697	10553670	108.02	0	1571
scaffold_71	96704	10643459	110.06	0	4156
scaffold_72	96643	7552875	78.15	0	2181
scaffold_73	96639	8357748	86.48	0	6148
scaffold_74	96618	16931789	175.24	0	14713
scaffold_75	95962	9508595	99.09	0	2284
scaffold_76	95848	7170694	74.81	0	1436
scaffold_77	95658	33900802	354.40	0	29722
