chrom	length	bases	mean	min	max
scaffold_1	258050	172230	0.67	0	1226
scaffold_1_region	136209	96269	0.71	0	544
scaffold_2	248132	181747	0.73	0	1056
scaffold_2_region	90518	143332	1.58	0	1056
scaffold_3	240340	59682	0.25	0	626
scaffold_3_region	127816	48928	0.38	0	626
scaffold_4	232527	51187	0.22	0	493
scaffold_4_region	119979	42168	0.35	0	493
scaffold_5	218268	103468	0.47	0	630
scaffold_5_region	78910	95098	1.21	0	630
scaffold_6	216163	212510	0.98	0	1442
scaffold_6_region	101091	156864	1.55	0	1442
scaffold_7	215756	238888	1.11	0	664
scaffold_7_region	114428	93730	0.82	0	641
scaffold_8	204092	42277	0.21	0	626
scaffold_8_region	91847	29345	0.32	0	626
scaffold_9	200499	191163	0.95	0	2165
scaffold_9_region	100618	115320	1.15	0	690
scaffold_10	193644	89046	0.46	0	748
scaffold_10_region	112763	72383	0.64	0	748
scaffold_11	192184	85527	0.45	0	644
scaffold_11_region	83048	49492	0.60	0	644
scaffold_12	190472	72584	0.38	0	604
scaffold_12_region	78166	65816	0.84	0	604
scaffold_13	188798	97549	0.52	0	672
scaffold_13_region	103755	77291	0.74	0	672
scaffold_14	188592	155381	0.82	0	634
scaffold_14_region	59493	79700	1.34	0	634
scaffold_15	184177	109775	0.60	0	1056
scaffold_15_region	101656	86549	0.85	0	1056
scaffold_16	184150	108361	0.59	0	604
scaffold_16_region	55262	66643	1.21	0	604
scaffold_17	182989	134759	0.74	0	706
scaffold_17_region	78934	77011	0.98	0	706
scaffold_18	180163	127615	0.71	0	622
scaffold_18_region	88269	107305	1.22	0	622
scaffold_19	177887	105368	0.59	0	668
scaffold_19_region	81182	63716	0.78	0	668
scaffold_20	177768	97635	0.55	0	650
scaffold_20_region	60617	76167	1.26	0	650
scaffold_21	176967	97120	0.55	0	618
scaffold_21_region	62970	78492	1.25	0	618
scaffold_22	176287	53767	0.30	0	60
scaffold_22_region	58974	35598	0.60	0	23
scaffold_23	175766	106963	0.61	0	594
scaffold_23_region	82760	72493	0.88	0	586
scaffold_24	175039	50423	0.29	0	690
scaffold_24_region	89632	17029	0.19	0	85
scaffold_25	172451	83573	0.48	0	532
scaffold_25_region	50545	18259	0.36	0	20
scaffold_26	171572	43123	0.25	0	490
scaffold_26_region	45184	33610	0.74	0	490
scaffold_27	169846	47774	0.28	0	524
scaffold_27_region	73079	26607	0.36	0	524
scaffold_28	169747	230807	1.36	0	652
scaffold_28_region	58343	62246	1.07	0	652
scaffold_29	169516	100038	0.59	0	1161
scaffold_29_region	70883	45751	0.65	0	626
scaffold_30	169002	35989	0.21	0	204
scaffold_30_region	85501	28114	0.33	0	204
scaffold_31	168851	79600	0.47	0	660
scaffold_31_region	59185	44666	0.75	0	660
scaffold_32	167463	111475	0.67	0	716
scaffold_32_region	40570	77177	1.90	0	716
scaffold_33	165556	111166	0.67	0	648
scaffold_33_region	63118	83455	1.32	0	648
scaffold_34	162450	83264	0.51	0	624
scaffold_34_region	84802	77510	0.91	0	624
scaffold_35	160431	90004	0.56	0	634
scaffold_35_region	69984	111538	1.59	0	634
scaffold_36	159974	79278	0.50	0	640
scaffold_36_region	72173	64924	0.90	0	640
